author_login,commit_count_raw,active_days,avg_additions,avg_deletions,avg_total_changes,max_total_changes,avg_msg_len,weekend_commit_ratio,total_prs,merged_prs,pr_acceptance_rate,commit_count
maral,1,1,1.0,1.0,2.0,2,1958.0,0.0,1,1,1.0,1
mischnic,34,10,218.0,148.0,366.0,4427,564.5588235294117,0.0,340,285,0.84,34
nextjs-bot,38,16,610.6842105263158,442.6315789473685,1053.3157894736842,18680,31.5,0.1052631578947368,0,0,0.0,38
nick20name17,1,1,14.0,4.0,18.0,18,696.0,0.0,2,1,0.5,1
padmaia,3,3,16.333333333333332,4.666666666666667,21.0,30,1131.0,0.0,96,83,0.86,3
prateekkish,1,1,39.0,4.0,43.0,43,519.0,0.0,1,1,1.0,1
rachnac-emeritus,1,1,5.0,5.0,10.0,10,172.0,0.0,1,1,1.0,1
rajrawat37,1,1,1.0,1.0,2.0,2,2666.0,1.0,1,1,1.0,1
raunofreiberg,2,2,322.5,13.5,336.0,663,507.0,0.0,35,30,0.86,2
rortan134,1,1,3.0,0.0,3.0,3,204.0,0.0,2,2,1.0,1
sajadtorkamani,1,1,1.0,1.0,2.0,2,2202.0,1.0,11,5,0.45,1
shantanu2307,1,1,4.0,2.0,6.0,6,379.0,0.0,1,1,1.0,1
skt-t1-byungi,1,1,28.0,1.0,29.0,29,1220.0,0.0,1,1,1.0,1
sokra,12,6,145.25,52.5,197.75,530,718.3333333333334,0.0,957,847,0.89,12
styfle,3,2,90.33333333333331,38.333333333333336,128.66666666666666,253,303.0,0.0,566,521,0.92,3
timneutkens,2,2,38.5,7.5,46.0,90,334.0,0.0,1020,933,0.91,2
unstubbable,25,11,417.04,394.28,811.32,6109,468.32,0.04,331,294,0.89,25
vercel-release-bot,18,10,643.0555555555555,489.22222222222223,1132.2777777777778,13290,154.05555555555554,0.0,0,0,0.0,18
wyattjoh,6,5,638.0,65.83333333333333,703.8333333333334,1508,1416.1666666666667,0.0,307,243,0.79,6
xusd320,1,1,7.0,9.0,16.0,16,112.0,0.0,12,5,0.42,1
ztanner,7,6,189.42857142857144,611.0,800.4285714285714,4175,652.7142857142857,0.2857142857142857,633,579,0.91,7
GleasonK,2,2,50.0,4.5,54.5,90,85.0,0.0,0,0,0.0,2
ICGog,4,2,570.5,85.75,656.25,1093,92.5,0.5,0,0,0.0,4
JohannesBuchner,1,1,50.0,35.0,85.0,85,61.0,0.0,1,1,1.0,1
KanishAnand,1,1,1.0,2.0,3.0,3,58.0,0.0,0,0,0.0,1
Moerafaat,1,1,295.0,87.0,382.0,382,300.0,0.0,0,0,0.0,1
SiqiaoWu1993,2,2,8.0,20.5,28.5,51,57.0,0.0,0,0,0.0,2
Tixxx,2,2,344.0,39.0,383.0,720,867.5,0.0,3,3,1.0,2
WillFroom,21,6,113.1904761904762,23.80952380952381,137.0,523,86.47619047619048,0.0,0,0,0.0,21
ZixuanJiang,1,1,41.0,11.0,52.0,52,134.0,0.0,0,0,0.0,1
adityakakarot,1,1,37.0,81.0,118.0,118,256.0,0.0,0,0,0.0,1
akuegel,12,6,130.58333333333334,110.75,241.33333333333337,1732,190.83333333333337,0.0,0,0,0.0,12
allanrenucci,10,5,19.6,16.0,35.6,116,142.8,0.0,0,0,0.0,10
amd-jianli12,1,1,4.0,4.0,8.0,8,969.0,0.0,0,0,0.0,1
amd-songpiao,1,1,186.0,41.0,227.0,227,957.0,0.0,0,0,0.0,1
apivovarov,1,1,583.0,0.0,583.0,583,829.0,0.0,5,3,0.6,1
bartchr808,1,1,231.0,47.0,278.0,278,81.0,0.0,0,0,0.0,1
basioli-k,6,3,366.6666666666667,5.166666666666667,371.8333333333333,1537,122.0,0.0,0,0,0.0,6
bchetioui,1,1,47.0,19.0,66.0,66,90.0,0.0,1,1,1.0,1
beckerhe,4,2,292.5,18.0,310.5,888,427.25,0.0,0,0,0.0,4
berkinilbeyi,1,1,21.0,1.0,22.0,22,557.0,0.0,0,0,0.0,1
bixia1,3,1,147.0,29.0,176.0,308,232.66666666666663,0.0,0,0,0.0,3
blakehechtman,1,1,29.0,1.0,30.0,30,164.0,0.0,0,0,0.0,1
bmass02,1,1,2.0,0.0,2.0,2,69.0,0.0,0,0,0.0,1
chsigg,3,3,267.6666666666667,20.666666666666668,288.3333333333333,756,330.3333333333333,0.3333333333333333,2,1,0.5,3
d0k,1,1,0.0,69.0,69.0,69,148.0,0.0,0,0,0.0,1
d4n1elchen,1,1,31.0,7.0,38.0,38,78.0,0.0,0,0,0.0,1
ddunl,6,4,24.0,30.166666666666668,54.166666666666664,102,140.33333333333334,0.0,0,0,0.0,6
derdrdirk,2,2,184.0,15.5,199.5,393,234.0,0.0,0,0,0.0,2
ecalubaquib,2,2,190.5,14.0,204.5,402,68.0,0.0,0,0,0.0,2
emilyfertig,3,2,225.66666666666663,7.0,232.66666666666663,577,154.0,0.3333333333333333,0,0,0.0,3
ezhulenev,21,8,74.76190476190476,21.952380952380953,96.71428571428572,281,183.1428571428571,0.1428571428571428,3,3,1.0,21
felixwqp,2,2,168.5,28.0,196.5,310,164.0,0.5,0,0,0.0,2
gflegar,1,1,4.0,4.0,8.0,8,92.0,0.0,0,0,0.0,1
golechwierowicz,1,1,156.0,131.0,287.0,287,95.0,0.0,0,0,0.0,1
hmonishN,1,1,2241.0,1.0,2242.0,2242,638.0,0.0,0,0,0.0,1
isharif168,1,1,41.0,7.0,48.0,48,1596.0,0.0,0,0,0.0,1
iumitakgun,2,2,48.0,24.0,72.0,90,151.0,0.0,0,0,0.0,2
jcai19,4,2,22.0,8.25,30.25,60,131.75,0.0,0,0,0.0,4
jeffreyadean,1,1,35.0,0.0,35.0,35,220.0,0.0,0,0,0.0,1
jerryxyj,1,1,3.0,0.0,3.0,3,51.0,0.0,0,0,0.0,1
jossb-iso,1,1,0.0,2.0,2.0,2,182.0,0.0,0,0,0.0,1
jparkerh,2,2,245.5,1.0,246.5,492,290.0,0.0,0,0,0.0,2
juliagmt-google,1,1,0.0,4.0,4.0,4,81.0,0.0,0,0,0.0,1
junwhanahn,1,1,0.0,11.0,11.0,11,105.0,0.0,0,0,0.0,1
liepieshov,2,1,63.5,40.5,104.0,188,86.0,0.0,0,0,0.0,2
loislo,1,1,3.0,3.0,6.0,6,206.0,0.0,0,0,0.0,1
majiddadashi,2,2,77.0,40.5,117.5,229,333.5,0.0,0,0,0.0,2
marialyu,1,1,38.0,67.0,105.0,105,71.0,0.0,0,0,0.0,1
metaflow,4,3,638.5,23.5,662.0,2086,208.0,0.0,0,0,0.0,4
mkuperst,4,3,48.5,3.0,51.5,111,240.5,0.0,0,0,0.0,4
mooskagh,1,1,104.0,100.0,204.0,204,378.0,0.0,0,0,0.0,1
mwhittaker,1,1,187.0,2.0,189.0,189,2287.0,0.0,0,0,0.0,1
nafi3000,2,2,36.5,36.5,73.0,140,339.5,0.0,0,0,0.0,2
nvgrw,4,3,40.0,44.0,84.0,218,101.75,0.0,0,0,0.0,4
penpornk,1,1,284.0,147.0,431.0,431,909.0,0.0,74,71,0.96,1
petebu,1,1,1.0,1.0,2.0,2,78.0,0.0,0,0,0.0,1
pifon2a,4,3,42.25,159.25,201.5,548,88.5,0.0,1,0,0.0,4
pineapplejuice233,2,2,3.5,2.5,6.0,6,135.5,0.0,0,0,0.0,2
pizzud,1,1,13.0,5.0,18.0,18,475.0,0.0,0,0,0.0,1
pschuh,8,5,58.125,14.625,72.75,161,153.625,0.125,0,0,0.0,8
reedwm,2,2,429.0,429.0,858.0,858,1197.0,0.0,30,30,1.0,2
rtg0795,2,2,6.5,12.0,18.5,36,62.0,0.0,43,40,0.93,2
sdasgup3,1,1,694.0,23.0,717.0,717,110.0,0.0,0,0,0.0,1
seantalts,3,2,300.6666666666667,48.333333333333336,349.0,816,584.0,0.0,0,0,0.0,3
sergey-kozub,1,1,1016.0,57.0,1073.0,1073,776.0,0.0,0,0,0.0,1
sgarciagoogle,1,1,1.0,1.0,2.0,2,50.0,0.0,0,0,0.0,1
slackito,1,1,2876.0,863.0,3739.0,3739,180.0,1.0,0,0,0.0,1
sohaibiftikhar,3,1,36.666666666666664,16.0,52.666666666666664,99,193.33333333333337,0.0,0,0,0.0,3
tensorflower-gardener,86,8,42.38372093023256,26.63953488372093,69.02325581395348,677,126.69767441860463,0.0697674418604651,0,0,0.0,86
terryheo,4,3,132.5,117.5,250.0,336,209.0,0.0,26,16,0.62,4
terryysun,1,1,9.0,6.0,15.0,15,750.0,0.0,0,0,0.0,1
thomasjoerg,2,2,43.5,3.5,47.0,51,345.0,0.0,0,0,0.0,2
tomnatan30,6,3,29.5,11.333333333333334,40.833333333333336,140,174.33333333333334,0.1666666666666666,0,0,0.0,6
vsytch,2,1,82.5,22.0,104.5,198,57.5,0.0,0,0,0.0,2
wsmoses,1,1,3.0,1.0,4.0,4,72.0,0.0,0,0,0.0,1
xinxinmo,1,1,39.0,42.0,81.0,81,309.0,1.0,0,0,0.0,1
zacmustin,1,1,3.0,2.0,5.0,5,79.0,0.0,0,0,0.0,1
zqw86713,3,2,10.333333333333334,0.3333333333333333,10.666666666666666,22,72.33333333333333,0.3333333333333333,3,1,0.33,3
Hakon-Bugge,1,1,1.0,2.0,3.0,3,1263.0,0.0,0,0,0.0,1
JasonXing,1,1,4.0,6.0,10.0,10,1096.0,0.0,0,0,0.0,1
LeviYeoReum,1,1,2.0,43.0,45.0,45,1638.0,0.0,0,0,0.0,1
LorenzoBianconi,5,1,33.4,22.8,56.2,86,612.0,0.0,0,0,0.0,5
LuBaolu,1,1,14.0,4.0,18.0,18,1038.0,1.0,0,0,0.0,1
Miriam-Rachel,2,1,3.0,3.5,6.5,9,917.5,0.0,0,0,0.0,2
Mixaill,2,2,6.0,0.0,6.0,9,612.5,0.5,0,0,0.0,2
Panky-codes,1,1,5.0,0.0,5.0,5,1789.0,0.0,0,0,0.0,1
RichardWeiYang,1,1,1.0,0.0,1.0,1,817.0,0.0,0,0,0.0,1
ShuichengLin,3,2,11.333333333333334,5.0,16.333333333333332,38,794.3333333333334,0.0,0,0,0.0,3
Vudentz,4,3,1.5,1.0,2.5,3,403.5,0.0,0,0,0.0,4
airlied,6,3,95.33333333333331,43.666666666666664,139.0,445,776.3333333333334,0.0,0,0,0.0,6
alessiob-img,1,1,2.0,2.0,4.0,4,1338.0,0.0,0,0,0.0,1
aloktiwa,2,2,2.0,5.0,7.0,12,980.0,0.5,0,0,0.0,2
andy-shev,1,1,1.0,1.0,2.0,2,998.0,0.0,0,0,0.0,1
arndb,10,4,19.4,7.0,26.4,116,790.1,0.0,0,0,0.0,10
axboe,4,3,11.75,3.75,15.5,34,985.5,0.25,0,0,0.0,4
bonzini,4,2,41.5,17.75,59.25,140,868.25,0.0,0,0,0.0,4
broonie,2,2,19.5,18.5,38.0,57,1157.0,0.0,0,0,0.0,2
chaseyu,3,3,3.6666666666666665,0.0,3.6666666666666665,6,515.3333333333334,0.0,0,0,0.0,3
chintanv133,1,1,1.0,3.0,4.0,4,695.0,0.0,0,0,0.0,1
cjubran,2,1,1.5,1.0,2.5,4,1487.5,0.0,0,0,0.0,2
cyndis,1,1,2.0,4.0,6.0,6,433.0,0.0,0,0,0.0,1
danvet,4,2,49.75,22.5,72.25,192,1474.5,0.0,0,0,0.0,4
deren,2,1,4.5,0.0,4.5,6,2025.0,1.0,0,0,0.0,2
dev-aaront-org,1,1,4.0,11.0,15.0,15,1119.0,0.0,0,0,0.0,1
df7cb,1,1,8.0,6.0,14.0,14,1249.0,0.0,0,0,0.0,1
dhowells,3,2,5.666666666666667,2.3333333333333335,8.0,20,1306.0,0.0,0,0,0.0,3
dkruces,1,1,1.0,1.0,2.0,2,874.0,0.0,0,0,0.0,1
dolcini,1,1,1.0,0.0,1.0,1,1031.0,0.0,0,0,0.0,1
donnaskiez,1,1,38.0,14.0,52.0,52,1283.0,0.0,0,0,0.0,1
drosdeck,1,1,1.0,0.0,1.0,1,386.0,0.0,0,0,0.0,1
edumazet,3,1,19.0,0.6666666666666666,19.666666666666668,53,853.6666666666666,0.0,0,0,0.0,3
ffainelli,3,3,98.33333333333331,2.6666666666666665,101.0,299,915.6666666666666,0.0,0,0,0.0,3
fossdd,1,1,4.0,0.0,4.0,4,739.0,1.0,0,0,0.0,1
hmadhani,1,1,3.0,1.0,4.0,4,909.0,0.0,0,0,0.0,1
honggyukim,4,1,4.75,1.5,6.25,8,1083.75,0.0,0,0,0.0,4
hsiangkao,3,2,10.0,11.666666666666666,21.666666666666668,40,679.0,0.0,0,0,0.0,3
hvilleneuvedoo,1,1,3.0,2.0,5.0,5,972.0,0.0,0,0,0.0,1
iostapyshyn,1,1,1.0,1.0,2.0,2,880.0,1.0,0,0,0.0,1
ioworker0,1,1,28.0,18.0,46.0,46,2231.0,0.0,0,0,0.0,1
isilence,1,1,0.0,3.0,3.0,3,638.0,0.0,0,0,0.0,1
ivitro,1,1,3.0,1.0,4.0,4,3402.0,0.0,0,0,0.0,1
jbfil,1,1,3.0,3.0,6.0,6,611.0,0.0,0,0,0.0,1
jimxbj-dot,1,1,5.0,3.0,8.0,8,921.0,0.0,0,0,0.0,1
jmberg-intel,3,3,102.0,67.0,169.0,498,479.0,0.0,0,0,0.0,3
kevin-brodsky-arm,1,1,26.0,9.0,35.0,35,1590.0,0.0,0,0,0.0,1
kiryl,1,1,2.0,1.0,3.0,3,333.0,0.0,0,0,0.0,1
kuba-moo,15,5,48.266666666666666,22.4,70.66666666666667,663,862.1333333333333,0.0,0,0,0.0,15
l1k,1,1,8.0,8.0,16.0,16,3077.0,0.0,0,0,0.0,1
leitao,1,1,8.0,3.0,11.0,11,910.0,0.0,0,0,0.0,1
leon-yen,1,1,27.0,5.0,32.0,32,573.0,0.0,0,0,0.0,1
liuhangbin,1,1,1.0,1.0,2.0,2,1001.0,0.0,0,0,0.0,1
louis-peens,1,1,2.0,2.0,4.0,4,549.0,0.0,0,0,0.0,1
lucasdemarchi,1,1,1.0,1.0,2.0,2,1937.0,0.0,0,0,0.0,1
matt-auld,1,1,1.0,1.0,2.0,2,1335.0,0.0,0,0,0.0,1
mbrost05,2,1,0.5,0.5,1.0,1,866.5,0.0,0,0,0.0,2
metze-samba,1,1,3.0,2.0,5.0,5,1453.0,0.0,0,0,0.0,1
michaello316,1,1,4.0,4.0,8.0,8,715.0,0.0,0,0,0.0,1
mkrle,1,1,1.0,1.0,2.0,2,449.0,0.0,0,0,0.0,1
mmhal,3,1,15.333333333333334,3.6666666666666665,19.0,28,822.6666666666666,0.0,0,0,0.0,3
moonheelee,1,1,14.0,0.0,14.0,14,1225.0,0.0,0,0,0.0,1
mrpre,1,1,1.0,1.0,2.0,2,2005.0,0.0,0,0,0.0,1
mwajdecz,2,2,6.5,1.0,7.5,11,873.0,0.0,0,0,0.0,2
n132,1,1,25.0,28.0,53.0,53,781.0,1.0,0,0,0.0,1
namjaejeon,1,1,9.0,20.0,29.0,29,359.0,0.0,0,0,0.0,1
nathanchance,1,1,1.0,1.0,2.0,2,1042.0,0.0,0,0,0.0,1
nbd168,3,2,15.0,24.333333333333332,39.333333333333336,109,436.3333333333333,0.3333333333333333,0,0,0.0,3
ncroxon,1,1,8.0,2.0,10.0,10,1402.0,0.0,0,0,0.0,1
ofirbitt,1,1,1.0,1.0,2.0,2,445.0,0.0,0,0,0.0,1
olerem,5,2,10.8,1.2,12.0,29,1244.8,0.0,0,0,0.0,5
panjaney,1,1,1.0,1.0,2.0,2,724.0,0.0,0,0,0.0,1
pcacjr,1,1,20.0,19.0,39.0,39,1587.0,0.0,0,0,0.0,1
petrpavlu,2,1,1.5,2.0,3.5,4,829.0,0.0,0,0,0.0,2
q2ven,6,3,15.166666666666666,8.0,23.166666666666668,81,1878.3333333333333,0.0,0,0,0.0,6
rafaeljw,2,2,6.5,6.5,13.0,24,625.0,0.0,0,0,0.0,2
sjp38,1,1,3.0,4.0,7.0,7,1036.0,1.0,0,0,0.0,1
sknsean,1,1,1.0,1.0,2.0,2,541.0,0.0,0,0,0.0,1
skotur-brcm,1,1,1.0,1.0,2.0,2,1942.0,0.0,0,0,0.0,1
stefano-garzarella,1,1,1.0,1.0,2.0,2,922.0,0.0,0,0,0.0,1
superm1,1,1,11.0,0.0,11.0,11,1087.0,0.0,0,0,0.0,1
t-8ch,2,1,3.0,2.0,5.0,8,672.5,0.0,0,0,0.0,2
tamird,1,1,1.0,2.0,3.0,3,274.0,0.0,0,0,0.0,1
thejh,1,1,1.0,1.0,2.0,2,1633.0,0.0,0,0,0.0,1
tititiou36,1,1,1.0,0.0,1.0,1,596.0,1.0,0,0,0.0,1
tiwai,1,1,3434.0,2006.0,5440.0,5440,234.0,0.0,0,0,0.0,1
toblux,1,1,1.0,1.0,2.0,2,445.0,0.0,0,0,0.0,1
torvalds,65,12,94.23076923076924,50.76923076923077,145.0,925,1032.6615384615384,0.4153846153846154,0,0,0.0,65
tq-steina,1,1,1.0,1.0,2.0,2,632.0,0.0,0,0,0.0,1
ukleinek,2,1,4.5,3.0,7.5,13,708.0,0.0,0,0,0.0,2
vanhoefm,1,1,50.0,2.0,52.0,52,1712.0,0.0,0,0,0.0,1
vbnogueira,2,2,26.5,3.5,30.0,37,1543.5,0.5,0,0,0.0,2
veritas501,1,1,1.0,0.0,1.0,1,581.0,0.0,0,0,0.0,1
vivekkreddy,1,1,6.0,3.0,9.0,9,4118.0,0.0,0,0,0.0,1
wangjinchao,1,1,1.0,0.0,1.0,1,1259.0,0.0,0,0,0.0,1
wens,1,1,1.0,1.0,2.0,2,535.0,1.0,0,0,0.0,1
yu-chen-surf,1,1,2.0,27.0,29.0,29,2193.0,0.0,0,0,0.0,1
44670,1,1,31.0,0.0,31.0,31,166.0,0.0,1,1,1.0,1
ArkVex,1,1,12.0,12.0,24.0,24,173.0,0.0,4,1,0.25,1
ArthurZucker,4,4,530.5,1479.25,2009.75,7901,817.5,0.25,452,371,0.82,4
BenjaminBossan,2,1,14.5,3.5,18.0,32,298.5,0.0,11,11,1.0,2
Bpriya42,1,1,125.0,234.0,359.0,359,1479.0,0.0,1,1,1.0,1
ChongYou,1,1,2.0,1.0,3.0,3,122.0,0.0,1,1,1.0,1
Crystalcareai,1,1,1605.0,0.0,1605.0,1605,1737.0,0.0,2,1,0.5,1
Cyrilvallez,14,9,150.71428571428572,225.3571428571429,376.07142857142856,1840,150.07142857142858,0.0,132,118,0.89,14
DWarez,1,1,28.0,0.0,28.0,28,214.0,0.0,2,1,0.5,1
DavidS2106,1,1,5.0,1.0,6.0,6,298.0,0.0,1,1,1.0,1
EduardDurech,1,1,697.0,261.0,958.0,958,1071.0,0.0,3,1,0.33,1
FightingZhen,1,1,10.0,16.0,26.0,26,123.0,0.0,9,6,0.67,1
HRezaei,1,1,117.0,41.0,158.0,158,70.0,0.0,2,1,0.5,1
HollowMan6,1,1,9.0,1.0,10.0,10,313.0,0.0,2,2,1.0,1
IliasAarab,1,1,1.0,0.0,1.0,1,101.0,0.0,1,1,1.0,1
IlyasMoutawwakil,1,1,71.0,54.0,125.0,125,544.0,0.0,13,12,0.92,1
Isotr0py,2,2,12.5,4.5,17.0,22,433.5,0.0,25,23,0.92,2
JINO-ROHIT,1,1,1.0,1.0,2.0,2,58.0,0.0,5,3,0.6,1
JJJYmmm,1,1,201.0,245.0,446.0,446,183.0,0.0,6,3,0.5,1
JoosunH,1,1,454.0,0.0,454.0,454,1758.0,0.0,1,1,1.0,1
KKZ20,1,1,3.0,1.0,4.0,4,53.0,0.0,1,1,1.0,1
Krish0909,1,1,2.0,2.0,4.0,4,446.0,0.0,4,1,0.25,1
Kuangdd01,1,1,127.0,23.0,150.0,150,365.0,0.0,2,2,1.0,1
LckyLke,1,1,85.0,13.0,98.0,98,197.0,0.0,1,1,1.0,1
LoserCheems,1,1,2624.0,0.0,2624.0,2624,2911.0,0.0,4,2,0.5,1
LysandreJik,6,5,335.0,130.83333333333334,465.8333333333333,1339,629.8333333333334,0.0,555,484,0.87,6
MShaheerMalik77,1,1,88.0,33.0,121.0,121,346.0,0.0,1,1,1.0,1
McPatate,1,1,1.0,19.0,20.0,20,78.0,0.0,16,12,0.75,1
MekkCyber,2,2,8.0,21.5,29.5,56,118.0,0.0,82,73,0.89,2
MilkClouds,1,1,2.0,2.0,4.0,4,172.0,0.0,2,2,1.0,1
MinJu-Ha,1,1,397.0,115.0,512.0,512,2064.0,0.0,3,2,0.67,1
NahieliV,1,1,499.0,47.0,546.0,546,454.0,0.0,2,2,1.0,1
NielsRogge,1,1,0.0,0.0,0.0,0,82.0,0.0,336,277,0.82,1
ParagEkbote,1,1,90.0,84.0,174.0,174,735.0,0.0,6,6,1.0,1
Phoenix-Shen,1,1,2.0,12.0,14.0,14,532.0,0.0,2,1,0.5,1
Rocketknight1,4,3,74.25,59.0,133.25,512,134.25,0.0,398,351,0.88,4
RyanMullins,2,2,4367.5,6.0,4373.5,8723,13874.0,0.0,9,8,0.89,2
S1ro1,1,1,0.0,1.0,1.0,1,45.0,0.0,9,6,0.67,1
Shohail-Ismail,1,1,2.0,1.0,3.0,3,148.0,0.0,1,1,1.0,1
Stonepia,1,1,57.0,27.0,84.0,84,444.0,0.0,1,1,1.0,1
SunMarc,4,4,53.0,4.75,57.75,188,215.0,0.0,135,119,0.88,4
Tanuj-rai,2,2,24.5,11.5,36.0,70,483.0,0.0,10,4,0.4,2
Tavish9,1,1,32.0,25.0,57.0,57,200.0,0.0,3,3,1.0,1
Vaibhavs10,2,2,40.0,22.0,62.0,94,208.0,0.0,8,6,0.75,2
VladOS95-cyber,1,1,1913.0,0.0,1913.0,1913,1311.0,0.0,16,13,0.81,1
VladimirGutuev,1,1,2.0,2.0,4.0,4,244.0,0.0,1,1,1.0,1
Wauplin,1,1,1.0,3.0,4.0,4,35.0,0.0,37,33,0.89,1
Xiang-cd,1,1,1.0,1.0,2.0,2,55.0,0.0,1,1,1.0,1
ahadnagy,2,1,92.0,7.0,99.0,196,199.0,0.0,11,7,0.64,2
alex-jw-brooks,1,1,6.0,3.0,9.0,9,93.0,0.0,14,9,0.64,1
alvarobartt,1,1,1.0,1.0,2.0,2,48.0,0.0,5,5,1.0,1
anton-l,1,1,1879.0,0.0,1879.0,1879,570.0,0.0,47,41,0.87,1
avihu111,3,3,14.666666666666666,14.666666666666666,29.333333333333332,39,985.0,0.0,3,3,1.0,3
buttercrab,1,1,5732.0,28.0,5760.0,5760,6210.0,0.0,2,1,0.5,1
bvantuan,3,3,98.0,50.666666666666664,148.66666666666666,327,307.6666666666667,0.0,6,3,0.5,3
bzhangGo,2,2,2599.5,10.0,2609.5,5148,766.5,0.0,2,2,1.0,2
cyyever,5,3,480.4,511.2,991.6,4439,197.6,0.0,56,43,0.77,5
davanstrien,1,1,1.0,1.0,2.0,2,34.0,0.0,2,2,1.0,1
dggaytan,1,1,2.0,2.0,4.0,4,116.0,0.0,1,1,1.0,1
dhruvmalik007,1,1,80.0,34.0,114.0,114,376.0,0.0,1,1,1.0,1
dross20,3,3,114.0,41.666666666666664,155.66666666666666,175,309.3333333333333,0.0,6,6,1.0,3
dsmertin,1,1,5.0,24.0,29.0,29,183.0,0.0,0,0,0.0,1
dsnsabari,1,1,20.0,10.0,30.0,30,1877.0,0.0,1,1,1.0,1
edwko,1,1,34.0,1.0,35.0,35,341.0,0.0,1,1,1.0,1
eeemmmmmm,1,1,2.0,2.0,4.0,4,129.0,0.0,0,0,0.0,1
efsotr,1,1,43.0,2.0,45.0,45,338.0,0.0,6,4,0.67,1
eginhard,1,1,5.0,18.0,23.0,23,102.0,0.0,2,1,0.5,1
emanrissha,1,1,99.0,120.0,219.0,219,3250.0,0.0,1,1,1.0,1
eromomon,2,2,6.0,6.5,12.5,22,189.5,0.0,2,2,1.0,2
eustlb,8,5,539.75,42.0,581.75,4198,441.5,0.0,42,29,0.69,8
farrosalferro,1,1,223.0,79.0,302.0,302,409.0,0.0,2,2,1.0,1
gante,10,8,114.0,395.4,509.4,2525,371.1,0.0,616,539,0.88,10
giuseppeCoccia,1,1,73.0,18.0,91.0,91,372.0,0.0,1,1,1.0,1
guang-yng,1,1,109.0,30.0,139.0,139,1058.0,0.0,1,1,1.0,1
gudwls215,1,1,3.0,2.0,5.0,5,254.0,0.0,1,1,1.0,1
hellopahe,1,1,20.0,4.0,24.0,24,146.0,0.0,1,1,1.0,1
hiyouga,1,1,10.0,3.0,13.0,13,92.0,0.0,16,13,0.81,1
ivarflakstad,2,1,2.5,0.5,3.0,4,78.0,0.0,43,34,0.79,2
jiangwangyi,1,1,0.0,143.0,143.0,143,121.0,0.0,4,2,0.5,1
jiqing-feng,6,5,32.333333333333336,4.333333333333333,36.666666666666664,85,425.1666666666667,0.0,67,54,0.81,6
juliendenize,1,1,3573.0,8.0,3581.0,3581,826.0,0.0,2,2,1.0,1
kaixuanliu,2,1,9.5,4.5,14.0,19,433.0,0.0,7,3,0.43,2
kaln27,1,1,4.0,4.0,8.0,8,254.0,0.0,1,1,1.0,1
