key,id,created,updated,resolution_date,summary,description,status,status_category,issue_type,priority,assignee,reporter,project_key,project_name,story_points,epic_link,components,labels,fix_versions
KAFKA-19498,13623291,2025-07-14T06:13:09.000+0000,2025-07-14T15:16:23.000+0000,,Add include argument to ConsumerPerformance tool,"Add include argument to ConsumerPerformance tool to subscribe to multiple topics.

https://cwiki.apache.org/confluence/display/KAFKA/KIP-1192%3A+Add+include+argument+to+ConsumerPerformance+tool",Open,To Do,Improvement,Major,Federico Valeri,Federico Valeri,KAFKA,Kafka,,,tools,kip-required,
KAFKA-19497,13623185,2025-07-11T17:51:33.000+0000,2025-07-15T05:13:41.000+0000,,Topic replay code does not handle creation and deletion properly if it occurs in the same batch,"There is a small logic bug in topic replay. If a topic is created and then removed before the TopicsDelta is applied, we end up with the deleted topic in {{createdTopics}} on the delta but not in deletedTopicIds. I think we are extremely unlikely to see this since MetadataLoader will apply the delta for each batch of records it receives. Since it’s impossible to see a TopicRecord and RemoveTopicRecord in the same batch, the only way this could surface is if MetadataLoader did some buffering.

{{}}",Open,To Do,Bug,Major,zhu zhe,Kevin Wu,KAFKA,Kafka,,,,,4.2.0
KAFKA-19496,13623154,2025-07-11T12:36:28.000+0000,2025-07-13T16:37:12.000+0000,2025-07-13T16:35:30.000+0000,Failing test: DescribeStreamsGroupTest.testDescribeMultipleStreamsGroupWithMembersAndVerboseOptions(),https://github.com/apache/kafka/actions/runs/16216903812/job/45788662908?pr=20153,Resolved,Done,Bug,Major,Alieh Saeedi,Apoorv Mittal,KAFKA,Kafka,,,"streams,unit tests",flaky-test,4.2.0
KAFKA-19495,13623061,2025-07-10T15:31:18.000+0000,2025-07-11T16:01:03.000+0000,2025-07-11T16:01:03.000+0000,DefaultJwtRetriever could not be found with Docker native image,"I built a native image for 4.1.0-rc0 (https://github.com/apache/kafka/actions/runs/16196532977/job/45724349624) and pushed it to DockerHub (https://hub.docker.com/layers/apache/kafka-native/4.1.0-rc0/images/sha256-dd69cac8a2aa1282e42b25f92d2a66f29c6a6bf375bc8759b9728b2d2c0561c7)

When trying to run the image, I get the following error:

{noformat}
docker run -p 9092:9092 apache/kafka-native:4.1.0-rc0
===> User
uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
===> Setting default values of environment variables if not already set.
CLUSTER_ID not set. Setting it to default value: ""5L6g3nShT-eMCtK--X86sw""
===> Configuring ...
===> Launching ...
Exception in thread ""main"" java.lang.ExceptionInInitializerError at org.apache.kafka.server.config.AbstractKafkaConfig.<clinit>(AbstractKafkaConfig.java:56) at java.base@21.0.2/java.lang.Class.ensureInitialized(DynamicHub.java:601) at kafka.tools.StorageTool$.$anonfun$execute$1(StorageTool.scala:79) at scala.Option.flatMap(Option.scala:283) at kafka.tools.StorageTool$.execute(StorageTool.scala:79) at kafka.tools.StorageTool$.main(StorageTool.scala:46) at kafka.docker.KafkaDockerWrapper$.main(KafkaDockerWrapper.scala:57) at kafka.docker.KafkaDockerWrapper.main(KafkaDockerWrapper.scala) at java.base@21.0.2/java.lang.invoke.LambdaForm$DMH/sa346b79c.invokeStaticInit(LambdaForm$DMH) Caused by: org.apache.kafka.common.config.ConfigException: Invalid value org.apache.kafka.common.security.oauthbearer.DefaultJwtRetriever for configuration sasl.oauthbearer.jwt.retriever.class: Class org.apache.kafka.common.security.oauthbearer.DefaultJwtRetriever could not be found. at org.apache.kafka.common.config.ConfigDef.parseType(ConfigDef.java:778) at org.apache.kafka.common.config.ConfigDef$ConfigKey.<init>(ConfigDef.java:1271) at org.apache.kafka.common.config.ConfigDef.define(ConfigDef.java:155) at org.apache.kafka.common.config.ConfigDef.define(ConfigDef.java:198) at org.apache.kafka.common.config.ConfigDef.define(ConfigDef.java:237) at org.apache.kafka.common.config.ConfigDef.define(ConfigDef.java:399) at org.apache.kafka.common.config.ConfigDef.define(ConfigDef.java:412) at org.apache.kafka.common.config.internals.BrokerSecurityConfigs.<clinit>(BrokerSecurityConfigs.java:197) ... 9 more
{noformat}

Since DefaultJwtRetriever is dynamically loaded at runtime, I wonder if the docker/native/native-image-configs/reflect-config.json file needs to be updated.
",Resolved,Done,Bug,Blocker,Luke Chen,Mickael Maison,KAFKA,Kafka,,,docker,,4.1.0
KAFKA-19494,13623048,2025-07-10T13:29:44.000+0000,2025-07-11T08:12:15.000+0000,2025-07-11T08:12:15.000+0000,Undeprecate JoinGroup V0 & V1 in 3.x,"We added back support for JoinGroup v0 & v1 in Kafka 4.0.1 and 4.1.0 due to KAFKA-19444. Due to that, we should undeprecate these protocol api versions in 3.x.",Resolved,Done,Improvement,Major,,Ismael Juma,KAFKA,Kafka,,,,,"3.7.3,3.8.2,3.9.2"
KAFKA-19493,13623043,2025-07-10T13:13:39.000+0000,2025-07-12T05:03:23.000+0000,,Incorrect rate metric with larger window size,"The Kafka Rate metric gives incorrect rate when the window size is larger say hourly. 

I suspect the code for calculating rate is incorrect for metrics which are not emitting rate per second or millisecond. The code for time unit calculation seems wrong: [convert(windowSize(config, now), unit)|https://github.com/apache/kafka/blob/da4fbba2793528e283458e080a690ad141857b0b/clients/src/main/java/org/apache/kafka/common/metrics/stats/Rate.java#L67] i.e. the convert code divides the elapsed time in window to the time unit.

 

The problem can be easily reporduced by looking at `rebalance-rate-per-hour` metric.",Open,To Do,Bug,Major,Lan Ding,Apoorv Mittal,KAFKA,Kafka,,,"clients,metrics",,
KAFKA-19489,13622947,2025-07-09T15:29:01.000+0000,2025-07-11T13:53:48.000+0000,,storage tool should check controller.quorum.voters is not set alongside a dynamic quorum flag when formatting,"The storage tool currently allows for setting both the static voters config ({{{}controller.quorum.voters{}}}) and attempting to format with one of {{--standalone, --initial-controllers}} on a controller, but instead it should throw an exception. This is because setting {{controller.quorum.voters}} itself is formatting the voter set.

Setting {{controller.quorum.voters}} while trying to format with a --standalone and {{-no-initial-controllers}} setup can result in 2 voter sets. For example, in a three node setup, the two nodes that formatted with --no-initial-controllers could form quorum with each other since they have the static voter set, and the {{-standalone}} node would ignore the config and read the voter set of itself from its log, forming its own quorum of 1.",Open,To Do,Bug,Major,Kevin Wu,Kevin Wu,KAFKA,Kafka,,,,,4.2.0
KAFKA-19488,13622935,2025-07-09T14:50:01.000+0000,2025-07-10T02:26:26.000+0000,2025-07-10T02:26:18.000+0000,"Update the docs of ""if-not-exists""","""the action will only execute"" is incorrect, as the admin still sends the request. The ""if-not-exists"" flag is actually used to swallow the exception. ",Resolved,Done,Improvement,Minor,xuanzhang gong,Chia-Ping Tsai,KAFKA,Kafka,,,,,
KAFKA-19487,13622927,2025-07-09T14:02:55.000+0000,2025-07-09T14:02:55.000+0000,,Improve consistency of command-line arguments,This issue tracks the development of [KIP-1147: Improve consistency of command-line arguments|https://cwiki.apache.org/confluence/display/KAFKA/KIP-1147%3A+Improve+consistency+of+command-line+arguments].,Open,To Do,New Feature,Major,Andrew Schofield,Andrew Schofield,KAFKA,Kafka,,,,,
KAFKA-19486,13622923,2025-07-09T13:44:51.000+0000,2025-07-10T02:44:29.000+0000,,Always use the latest version of kafka-topics.sh to create topics in system tests,"Using ""old"" kafka-topics.sh to create topics on ""old"" brokers is stable, but it also has some disadvantages.

1. E2E does not cover the case of using ""new"" kafka-topics.sh on ""old"" brokers
2. it requires a bunch of conditions for ""zk"", since some old kafka-topics.sh require using zk connection

In short, we should always use latest kafka-topics.sh to create topics on ""old"" brokers",Open,To Do,Improvement,Major,Chih-Yuan Chien,Chia-Ping Tsai,KAFKA,Kafka,,,,,
KAFKA-19484,13622854,2025-07-08T19:46:51.000+0000,2025-07-08T19:47:06.000+0000,,Tiered Storage Quota Metrics can stop reporting,"It is possible for tiered storage throttle metrics (introduced as a part of [KIP-956|https://cwiki.apache.org/confluence/display/KAFKA/KIP-956+Tiered+Storage+Quotas]) to stop reporting if the relevant tiered storage operation (copy/fetch) goes idle for longer than the sensor expiry timeout of one hour.

 

RemoteLogManager maintains a static reference to the sensors used for metric reporting. This is a problem because the default sensor expiry time is one hour and there is nothing responsible for handling expired sensors. If the sensors expire, RemoteLogManager will continue producing metrics through it's static references to sensor objects that have already been cleaned up by the ExpireSensorTask.

 

This issue tends to affect fetch metrics a lot more than copy metrics because the copy sensors don't go idle unless the topics stop being produced to. In contrast, the use case of backfilling from earliest offset using tiered storage is a pretty common use case.

 

*Reproduction*
 * Generate some amount of tiered storage fetch traffic on a topic. Confirm the remote-fetch-throttle-time-avg/max metrics are being reported.
 * Remove the consumer workload that triggers the tiered storage fetch traffic. Wait for one hour (the sensor expiration period)
 * Generate some more tiered storage fetch traffic. The metric will no longer report.",Open,To Do,Bug,Minor,,George Wu,KAFKA,Kafka,,,Tiered-Storage,,
KAFKA-19483,13622839,2025-07-08T17:56:22.000+0000,2025-07-08T18:06:40.000+0000,,Fix flaky test RemoteIndexCacheTest.testConcurrentCacheDeletedFileExists(),"Observed in :

[https://github.com/apache/kafka/actions/runs/16130278655/job/45516681844]

[https://github.com/apache/kafka/actions/runs/16086455065/job/45398324767?pr=20104]

 
{code:java}
2025-07-05T09:39:50.2299240Z org.apache.kafka.storage.internals.log.RemoteIndexCacheTest.testConcurrentCacheDeletedFileExists() failed, log available in /home/runner/work/kafka/kafka/storage/build/reports/testOutput/org.apache.kafka.storage.internals.log.RemoteIndexCacheTest.testConcurrentCacheDeletedFileExists().test.stdout 2025-07-05T09:39:50.2300479Z 2025-07-05T09:39:50.2300817Z Gradle Test Run :storage:test > Gradle Test Executor 50 > RemoteIndexCacheTest > testConcurrentCacheDeletedFileExists() FAILED 2025-07-05T09:39:50.2301484Z org.opentest4j.AssertionFailedError: expected: <0> but was: <1> 2025-07-05T09:39:50.2302021Z at app//org.junit.jupiter.api.AssertionFailureBuilder.build(AssertionFailureBuilder.java:151) 2025-07-05T09:39:50.2303093Z at app//org.junit.jupiter.api.AssertionFailureBuilder.buildAndThrow(AssertionFailureBuilder.java:132) 2025-07-05T09:39:50.2303807Z at app//org.junit.jupiter.api.AssertEquals.failNotEqual(AssertEquals.java:197) 2025-07-05T09:39:50.2304339Z at app//org.junit.jupiter.api.AssertEquals.assertEquals(AssertEquals.java:150) 2025-07-05T09:39:50.2305021Z at app//org.junit.jupiter.api.AssertEquals.assertEquals(AssertEquals.java:145) 2025-07-05T09:39:50.2305539Z at app//org.junit.jupiter.api.Assertions.assertEquals(Assertions.java:531) 2025-07-05T09:39:50.2306163Z at app//org.apache.kafka.test.TestUtils.assertNoLeakedThreadsWithNameAndDaemonStatus(TestUtils.java:179) 2025-07-05T09:39:50.2306912Z at app//org.apache.kafka.storage.internals.log.RemoteIndexCacheTest.cleanup(RemoteIndexCacheTest.java:143){code}",Open,To Do,Improvement,Major,,Sushant Mahajan,KAFKA,Kafka,,,,,
KAFKA-19482,13622838,2025-07-08T17:55:14.000+0000,2025-07-15T00:14:11.000+0000,2025-07-15T00:14:11.000+0000,Fix flaky test KafkaStreamsTelemetryIntegrationTest.shouldPassMetrics,"KafkaStreamsTelemetryIntegrationTest > ""shouldPassMetrics(String, boolean, String).topologyType=complex, stateUpdaterEnabled=true, groupProtocol=streams""

 

Observed in: [https://github.com/apache/kafka/actions/runs/16086455065/job/45398324767?pr=20104]

 

 
{code:java}
2025-07-05T10:46:22.1980071Z org.apache.kafka.streams.integration.KafkaStreamsTelemetryIntegrationTest.shouldPassMetrics(String, boolean, String)[7] failed, log available in /home/runner/work/kafka/kafka/streams/integration-tests/build/reports/testOutput/org.apache.kafka.streams.integration.KafkaStreamsTelemetryIntegrationTest.shouldPassMetrics(String, boolean, String)[7].test.stdout 2025-07-05T10:46:22.1988523Z 2025-07-05T10:46:22.1990639Z Gradle Test Run :streams:integration-tests:test > Gradle Test Executor 121 > KafkaStreamsTelemetryIntegrationTest > shouldPassMetrics(String, boolean, String) > ""shouldPassMetrics(String, boolean, String).topologyType=complex, stateUpdaterEnabled=true, groupProtocol=streams"" FAILED 2025-07-05T10:46:22.1996767Z org.opentest4j.AssertionFailedError: expected: <92> but was: <96> 2025-07-05T10:46:22.1997817Z at app//org.junit.jupiter.api.AssertionFailureBuilder.build(AssertionFailureBuilder.java:151) 2025-07-05T10:46:22.1999309Z at app//org.junit.jupiter.api.AssertionFailureBuilder.buildAndThrow(AssertionFailureBuilder.java:132) 2025-07-05T10:46:22.2000511Z at app//org.junit.jupiter.api.AssertEquals.failNotEqual(AssertEquals.java:197) 2025-07-05T10:46:22.2001638Z at app//org.junit.jupiter.api.AssertEquals.assertEquals(AssertEquals.java:150) 2025-07-05T10:46:22.2002596Z at app//org.junit.jupiter.api.AssertEquals.assertEquals(AssertEquals.java:145) 2025-07-05T10:46:22.2003688Z at app//org.junit.jupiter.api.Assertions.assertEquals(Assertions.java:531) 2025-07-05T10:46:22.2005204Z at app//org.apache.kafka.streams.integration.KafkaStreamsTelemetryIntegrationTest.shouldPassMetrics(KafkaStreamsTelemetryIntegrationTest.java:298){code}
 ",Resolved,Done,Improvement,Major,Matthias J. Sax,Sushant Mahajan,KAFKA,Kafka,,,"streams,unit tests",flaky-test,4.2.0
KAFKA-19481,13622837,2025-07-08T17:52:57.000+0000,2025-07-08T18:07:33.000+0000,,Fix flaky test AuthorizerIntegrationTest.testConsumerGroupHeartbeatWithRegex(),"Observed in 

[https://github.com/apache/kafka/actions/runs/16086455065/job/45398324767?pr=20104]

 
{code:java}
2025-07-05T09:11:08.8004324Z Gradle Test Run :core:test > Gradle Test Executor 21 > SaslOAuthBearerSslEndToEndAuthorizationTest > testProduceConsumeViaSubscribe(String) > testProduceConsumeViaSubscribe(String).groupProtocol=classic STARTED 2025-07-05T09:11:09.6005665Z kafka.api.AuthorizerIntegrationTest.testConsumerGroupHeartbeatWithRegex() failed, log available in /home/runner/work/kafka/kafka/core/build/reports/testOutput/kafka.api.AuthorizerIntegrationTest.testConsumerGroupHeartbeatWithRegex().test.stdout 2025-07-05T09:11:09.6008071Z 2025-07-05T09:11:09.6008981Z Gradle Test Run :core:test > Gradle Test Executor 22 > AuthorizerIntegrationTest > testConsumerGroupHeartbeatWithRegex() FAILED 2025-07-05T09:11:09.6011714Z org.opentest4j.AssertionFailedError: Unexpected assignment ConsumerGroupHeartbeatResponseData(throttleTimeMs=0, errorCode=0, errorMessage=null, memberId='dBGv01cmTbOyJoyQDgpFxg', memberEpoch=1, heartbeatIntervalMs=5000, assignment=null) ==> expected: not <null> 2025-07-05T09:11:09.6014642Z at app//org.junit.jupiter.api.AssertionFailureBuilder.build(AssertionFailureBuilder.java:152) 2025-07-05T09:11:09.6016154Z at app//org.junit.jupiter.api.AssertionFailureBuilder.buildAndThrow(AssertionFailureBuilder.java:132) 2025-07-05T09:11:09.6017649Z at app//org.junit.jupiter.api.AssertNotNull.failNull(AssertNotNull.java:49) 2025-07-05T09:11:09.6018855Z at app//org.junit.jupiter.api.AssertNotNull.assertNotNull(AssertNotNull.java:35) 2025-07-05T09:11:09.6020035Z at app//org.junit.jupiter.api.Assertions.assertNotNull(Assertions.java:312) 2025-07-05T09:11:09.6021483Z at app//kafka.api.AuthorizerIntegrationTest.sendAndReceiveRegexHeartbeat(AuthorizerIntegrationTest.scala:4085) 2025-07-05T09:11:09.6051031Z at app//kafka.api.AuthorizerIntegrationTest.testConsumerGroupHeartbeatWithRegex(AuthorizerIntegrationTest.scala:3125){code}
 ",Open,To Do,Improvement,Major,,Sushant Mahajan,KAFKA,Kafka,,,,,
