issue_key,change_date,author,field,from_string,to_string,from_id,to_id
KAFKA-19456,2025-07-04T08:28:05.957+0000,Sushant Mahajan,status,Open,In Progress,1,3
KAFKA-19456,2025-07-04T08:28:12.289+0000,Sushant Mahajan,status,In Progress,Resolved,3,5
KAFKA-19455,2025-07-04T08:27:46.470+0000,Sushant Mahajan,status,Open,In Progress,1,3
KAFKA-19455,2025-07-04T08:27:53.351+0000,Sushant Mahajan,status,In Progress,Resolved,3,5
KAFKA-19454,2025-07-04T08:26:45.412+0000,Sushant Mahajan,status,Open,In Progress,1,3
KAFKA-19454,2025-07-04T08:27:04.191+0000,Sushant Mahajan,status,In Progress,Resolved,3,5
KAFKA-19453,2025-07-03T16:21:38.390+0000,Sushant Mahajan,status,Open,In Progress,1,3
KAFKA-19453,2025-07-03T16:23:20.811+0000,Sushant Mahajan,status,In Progress,Patch Available,3,10002
KAFKA-19453,2025-07-03T18:47:43.125+0000,Apoorv Mittal,status,Patch Available,Resolved,10002,5
KAFKA-19452,2025-07-14T16:48:18.029+0000,Jun Rao,status,Open,Resolved,1,5
KAFKA-19451,2025-07-14T19:02:19.488+0000,Jun Rao,status,Open,Resolved,1,5
KAFKA-19450,2025-07-08T10:38:34.454+0000,Abhinav Dixit,status,Open,In Progress,1,3
KAFKA-19450,2025-07-09T08:51:36.582+0000,Andrew Schofield,status,In Progress,Resolved,3,5
KAFKA-19444,2025-07-09T09:24:58.968+0000,Mickael Maison,status,Open,Resolved,1,5
KAFKA-19440,2025-06-26T14:41:46.391+0000,Andrew Schofield,status,Open,In Progress,1,3
KAFKA-19440,2025-07-03T10:08:49.284+0000,Andrew Schofield,status,In Progress,Resolved,3,5
KAFKA-19435,2025-07-14T14:13:12.083+0000,Chia-Ping Tsai,status,Open,Resolved,1,5
KAFKA-19429,2025-06-23T14:32:47.663+0000,Lucas Brutschy,status,Open,Patch Available,1,10002
KAFKA-19429,2025-06-24T12:52:13.054+0000,Lucas Brutschy,status,Patch Available,Resolved,10002,5
KAFKA-19397,2025-06-13T19:27:41.952+0000,Omnia Ibrahim,status,Open,Patch Available,1,10002
KAFKA-19397,2025-07-07T11:56:19.634+0000,Chia-Ping Tsai,status,Patch Available,Resolved,10002,5
KAFKA-19390,2025-07-08T16:16:09.438+0000,Jun Rao,status,Open,Resolved,1,5
KAFKA-19384,2025-07-07T01:51:24.169+0000,HongYi Chen,status,Open,In Progress,1,3
KAFKA-19379,2025-06-24T12:55:40.554+0000,Lucas Brutschy,status,Open,Patch Available,1,10002
KAFKA-19379,2025-07-01T09:08:53.966+0000,Lucas Brutschy,status,Patch Available,Resolved,10002,5
KAFKA-19378,2025-06-27T09:27:03.414+0000,Lucas Brutschy,status,Open,Patch Available,1,10002
KAFKA-19378,2025-07-01T09:09:11.922+0000,Lucas Brutschy,status,Patch Available,Resolved,10002,5
KAFKA-19377,2025-07-15T06:19:49.689+0000,Haozhong Ma,status,Open,In Progress,1,3
KAFKA-19371,2025-06-04T13:55:36.126+0000,fujian,status,Open,Patch Available,1,10002
KAFKA-19371,2025-07-02T05:53:14.683+0000,Kamal Chandraprakash,status,Patch Available,Resolved,10002,5
KAFKA-19363,2025-07-01T09:56:23.726+0000,Andrew Schofield,status,Open,In Progress,1,3
KAFKA-19363,2025-07-04T09:36:01.548+0000,Andrew Schofield,status,In Progress,Resolved,3,5
KAFKA-19362,2025-06-10T09:56:23.732+0000,Andrew Schofield,status,Open,In Progress,1,3
KAFKA-19362,2025-07-04T09:35:49.427+0000,Andrew Schofield,status,In Progress,Resolved,3,5
KAFKA-19354,2025-05-30T21:41:10.794+0000,Alyssa Huang,status,Open,Patch Available,1,10002
KAFKA-19332,2025-05-28T13:11:55.408+0000,Abhinav Dixit,status,Open,In Progress,1,3
KAFKA-19332,2025-06-02T05:17:17.131+0000,Shivsundar R,status,In Progress,Resolved,3,5
KAFKA-19332,2025-06-11T09:46:09.660+0000,Shivsundar R,status,Resolved,Reopened,5,4
KAFKA-19315,2025-07-06T17:55:42.917+0000,Chia-Ping Tsai,status,Open,Resolved,1,5
KAFKA-19279,2025-07-14T05:55:03.191+0000,Peter,status,Open,Patch Available,1,10002
KAFKA-19276,2025-06-12T19:11:58.024+0000,Uladzislau Blok,status,Open,In Progress,1,3
KAFKA-19272,2025-05-12T22:11:04.394+0000,Ritika Reddy,status,Open,In Progress,1,3
KAFKA-19254,2025-07-14T20:28:30.689+0000,Chia-Ping Tsai,status,Open,Resolved,1,5
KAFKA-19248,2025-07-09T12:48:55.037+0000,Mickael Maison,status,Open,Resolved,1,5
KAFKA-19244,2025-07-01T05:11:24.899+0000,Alieh Saeedi,status,Open,Resolved,1,5
KAFKA-19221,2025-05-01T15:49:10.338+0000,Gaurav Narula,status,Open,Patch Available,1,10002
KAFKA-19221,2025-06-10T17:13:54.766+0000,Chia-Ping Tsai,status,Patch Available,Resolved,10002,5
KAFKA-19221,2025-06-30T13:03:32.918+0000,Chia-Ping Tsai,status,Resolved,Reopened,5,4
KAFKA-19221,2025-06-30T18:27:13.862+0000,Gaurav Narula,status,Reopened,Patch Available,4,10002
KAFKA-19221,2025-07-05T19:07:07.659+0000,Chia-Ping Tsai,status,Patch Available,Resolved,10002,5
KAFKA-19191,2025-04-24T15:02:19.397+0000,José Armando García Sancio,status,Open,Resolved,1,5
KAFKA-19184,2025-06-30T14:42:38.765+0000,José Armando García Sancio,status,Open,In Progress,1,3
KAFKA-19184,2025-06-30T16:22:05.329+0000,José Armando García Sancio,status,In Progress,Patch Available,3,10002
KAFKA-19184,2025-07-09T09:22:50.257+0000,Mickael Maison,status,Patch Available,Resolved,10002,5
KAFKA-19152,2025-04-22T15:12:13.237+0000,Kirk True,status,Open,In Progress,1,3
KAFKA-19152,2025-06-24T01:14:41.629+0000,Kirk True,status,In Progress,Patch Available,3,10002
KAFKA-19152,2025-07-01T07:15:08.069+0000,Manikumar,status,Patch Available,Resolved,10002,5
KAFKA-19132,2025-04-12T07:34:29.033+0000,Dmitry Werner,status,Open,In Progress,1,3
KAFKA-19132,2025-07-11T21:37:23.350+0000,Dmitry Werner,status,In Progress,Patch Available,3,10002
KAFKA-19130,2025-06-30T16:36:28.387+0000,Alyssa Huang,status,Open,Patch Available,1,10002
KAFKA-19130,2025-07-01T13:33:20.680+0000,Mickael Maison,status,Patch Available,Resolved,10002,5
KAFKA-19081,2025-04-23T10:06:08.257+0000,Andrew Schofield,status,Open,In Progress,1,3
KAFKA-19081,2025-04-24T21:27:32.574+0000,Apoorv Mittal,status,In Progress,Resolved,3,5
KAFKA-19047,2025-03-27T17:41:00.783+0000,Alyssa Huang,status,Open,Patch Available,1,10002
KAFKA-19047,2025-06-30T16:29:11.485+0000,Alyssa Huang,status,Patch Available,Resolved,10002,5
KAFKA-19039,2025-04-15T02:19:38.544+0000,Siyang He,status,Open,Patch Available,1,10002
KAFKA-19014,2025-04-21T17:28:18.954+0000,Kamal Chandraprakash,status,Open,Resolved,1,5
KAFKA-19012,2025-03-28T18:53:43.576+0000,Kirk True,status,Open,In Progress,1,3
KAFKA-18982,2025-03-13T18:48:57.499+0000,Edoardo Comar,status,Open,Patch Available,1,10002
KAFKA-18977,2025-07-07T17:55:47.537+0000,Chia-Ping Tsai,status,Open,Resolved,1,5
KAFKA-18943,2025-03-07T23:28:16.053+0000,Matthias J. Sax,status,Open,In Progress,1,3
KAFKA-18943,2025-03-08T06:07:02.435+0000,Matthias J. Sax,status,In Progress,Patch Available,3,10002
KAFKA-18943,2025-03-13T23:58:53.530+0000,Matthias J. Sax,status,Patch Available,Resolved,10002,5
KAFKA-18913,2025-03-14T09:38:05.857+0000,Janindu Pathirana,status,Open,In Progress,1,3
KAFKA-18884,2025-03-02T06:41:12.216+0000,PoAn Yang,status,Open,In Progress,1,3
KAFKA-18879,2025-04-24T10:39:46.166+0000,Apoorv Mittal,status,Open,Resolved,1,5
KAFKA-18681,2025-01-30T21:20:48.959+0000,Jonah Hooper,status,Open,In Progress,1,3
KAFKA-18681,2025-07-11T17:29:06.324+0000,Jonah Hooper,status,In Progress,Resolved,3,5
KAFKA-18524,2025-02-18T16:29:21.352+0000,Kamal Chandraprakash,status,Open,Resolved,1,5
KAFKA-18404,2025-01-06T06:50:59.323+0000,Abhinav Dixit,status,Open,In Progress,1,3
KAFKA-18404,2025-01-13T13:57:54.618+0000,Andrew Schofield,status,In Progress,Resolved,3,5
KAFKA-18336,2024-12-21T11:16:03.757+0000,Evgeny Kuvardin,status,Open,Patch Available,1,10002
KAFKA-18297,2025-01-13T20:12:42.206+0000,Kirk True,status,Open,Patch Available,1,10002
KAFKA-18297,2025-02-13T23:34:10.745+0000,Chia-Ping Tsai,status,Patch Available,Resolved,10002,5
KAFKA-18288,2025-04-30T06:30:49.628+0000,Alieh Saeedi,status,Open,Resolved,1,5
KAFKA-18201,2024-12-13T08:28:40.329+0000,PoAn Yang,status,Open,In Progress,1,3
KAFKA-18149,2024-12-30T09:08:15.114+0000,PoAn Yang,status,Open,In Progress,1,3
KAFKA-18120,2025-07-09T12:49:27.262+0000,Mickael Maison,status,Open,Resolved,1,5
KAFKA-18035,2024-12-19T22:09:16.892+0000,Justine Olshan,status,Open,Resolved,1,5
KAFKA-18035,2025-01-07T19:06:09.990+0000,Justine Olshan,status,Resolved,Reopened,5,4
KAFKA-18035,2025-02-11T22:02:22.076+0000,Justine Olshan,status,Reopened,Resolved,4,5
KAFKA-17853,2025-01-19T06:47:02.466+0000,Jimmy Wang,status,Open,In Progress,1,3
KAFKA-17853,2025-01-22T09:48:35.364+0000,Apoorv Mittal,status,In Progress,Resolved,3,5
KAFKA-17853,2025-02-18T10:53:56.503+0000,Andrew Schofield,status,Resolved,Reopened,5,4
KAFKA-17601,2024-11-09T14:20:29.419+0000,PoAn Yang,status,Open,In Progress,1,3
KAFKA-16913,2024-06-10T13:47:46.145+0000,Ganesh Sadanala,status,Open,In Progress,1,3
KAFKA-16913,2024-06-12T20:35:30.774+0000,Ganesh Sadanala,status,In Progress,Patch Available,3,10002
KAFKA-16717,2025-01-23T03:24:39.952+0000,Jimmy Wang,status,Open,In Progress,1,3
KAFKA-16143,2024-07-08T17:49:31.594+0000,Brenden DeLuna,status,Open,In Progress,1,3
KAFKA-16143,2024-10-15T00:58:24.021+0000,PoAn Yang,status,In Progress,Patch Available,3,10002
KAFKA-16143,2024-12-13T12:21:29.912+0000,Lianet Magrans,status,Patch Available,Resolved,10002,5
KAFKA-16061,2025-07-08T17:59:01.493+0000,Colin McCabe,status,Open,Resolved,1,5
KAFKA-15955,2025-07-08T17:56:37.619+0000,Colin McCabe,status,Open,Resolved,1,5
KAFKA-15910,2023-12-06T16:38:34.304+0000,David Jacot,status,Open,Resolved,1,5
KAFKA-15853,2023-11-20T10:23:37.755+0000,Omnia Ibrahim,status,Open,In Progress,1,3
KAFKA-15630,2024-05-24T21:33:10.971+0000,Ganesh Sadanala,status,Open,In Progress,1,3
KAFKA-15630,2024-05-24T22:34:20.468+0000,Ganesh Sadanala,status,In Progress,Patch Available,3,10002
KAFKA-15630,2024-06-10T20:23:08.547+0000,Greg Harris,status,Patch Available,Open,10002,1
KAFKA-15615,2024-04-30T18:13:52.580+0000,Kirk True,status,Open,Patch Available,1,10002
KAFKA-15599,2025-04-13T23:14:34.518+0000,Ismael Juma,status,Open,Patch Available,1,10002
KAFKA-15599,2025-04-13T23:14:51.428+0000,Ismael Juma,status,Patch Available,In Progress,10002,3
KAFKA-15331,2023-11-02T10:41:28.697+0000,hudeqi,status,Open,In Progress,1,3
KAFKA-15141,2023-07-01T20:23:13.767+0000,Gaurav Narula,status,Open,Patch Available,1,10002
KAFKA-15141,2023-09-20T07:47:36.881+0000,Gaurav Narula,status,Patch Available,Resolved,10002,5
KAFKA-14915,2025-06-25T10:02:55.373+0000,Luke Chen,status,Open,In Progress,1,3
KAFKA-14915,2025-07-04T10:08:00.680+0000,Luke Chen,status,In Progress,Patch Available,3,10002
KAFKA-14915,2025-07-14T14:14:38.760+0000,Satish Duggana,status,Patch Available,Resolved,10002,5
KAFKA-14830,2024-08-01T23:41:35.510+0000,Kirk True,status,Open,In Progress,1,3
KAFKA-14830,2024-12-03T19:25:45.398+0000,Kirk True,status,In Progress,Open,3,1
KAFKA-14830,2025-04-11T23:56:08.118+0000,Kirk True,status,Open,In Progress,1,3
KAFKA-14830,2025-04-11T23:56:14.425+0000,Kirk True,status,In Progress,Patch Available,3,10002
KAFKA-14830,2025-07-09T14:17:12.903+0000,Kirk True,status,Patch Available,In Progress,10002,3
KAFKA-14560,2024-12-21T04:53:22.697+0000,Ismael Juma,status,Open,In Progress,1,3
KAFKA-14560,2024-12-21T21:48:05.875+0000,Ismael Juma,status,In Progress,Resolved,3,5
KAFKA-14560,2024-12-21T22:10:34.262+0000,Ismael Juma,status,Resolved,Reopened,5,4
KAFKA-14560,2024-12-21T22:10:44.925+0000,Ismael Juma,status,Reopened,In Progress,4,3
KAFKA-14560,2024-12-29T17:54:26.265+0000,Ismael Juma,status,In Progress,Patch Available,3,10002
KAFKA-14560,2025-02-24T04:29:59.851+0000,Ismael Juma,status,Patch Available,Resolved,10002,5
KAFKA-14410,2024-12-11T10:01:19.203+0000,Snehashis Pal,status,Open,Resolved,1,5
KAFKA-14405,2022-12-21T05:14:21.491+0000,A. Sophie Blee-Goldman,status,Open,Patch Available,1,10002
KAFKA-14405,2025-06-11T21:18:01.631+0000,Matthias J. Sax,status,Patch Available,Open,10002,1
KAFKA-12380,2022-04-29T05:37:28.568+0000,Luke Chen,status,Open,Resolved,1,5
KAFKA-12281,2025-07-15T05:36:21.945+0000,Rajani Karuturi,status,Open,In Progress,1,3
KAFKA-10844,2024-07-10T18:30:22.595+0000,Matthias J. Sax,status,Open,Patch Available,1,10002
KAFKA-10825,2020-12-08T19:13:21.578+0000,David Arthur,status,Open,In Progress,1,3
KAFKA-10409,2020-09-02T20:25:06.569+0000,bond_as,status,Open,In Progress,1,3
KAFKA-10409,2024-11-20T01:14:16.136+0000,A. Sophie Blee-Goldman,status,In Progress,Resolved,3,5
KAFKA-10409,2024-11-20T01:14:24.718+0000,A. Sophie Blee-Goldman,status,Resolved,Reopened,5,4
KAFKA-10409,2024-11-27T18:02:13.017+0000,João Pedro Fonseca,status,Reopened,In Progress,4,3
KAFKA-10409,2025-01-18T19:12:51.053+0000,João Pedro Fonseca,status,In Progress,Patch Available,3,10002
KAFKA-9965,2024-12-27T14:28:12.128+0000,Chia-Ping Tsai,status,Open,Resolved,1,5
KAFKA-7442,2025-07-08T16:17:33.962+0000,Jun Rao,status,Open,Resolved,1,5
