author_login,commit_count_raw,active_days,avg_additions,avg_deletions,avg_total_changes,max_total_changes,avg_msg_len,weekend_commit_ratio,total_prs,merged_prs,pr_acceptance_rate,commit_count
deren,2,1,4.5,0.0,4.5,6,2025.0,1.0,0,0,,2
dev-aaront-org,1,1,4.0,11.0,15.0,15,1119.0,0.0,0,0,,1
df7cb,1,1,8.0,6.0,14.0,14,1249.0,0.0,0,0,,1
dhowells,3,2,5.666666666666667,2.3333333333333335,8.0,20,1306.0,0.0,0,0,,3
dkruces,1,1,1.0,1.0,2.0,2,874.0,0.0,0,0,,1
dolcini,1,1,1.0,0.0,1.0,1,1031.0,0.0,0,0,,1
donnaskiez,1,1,38.0,14.0,52.0,52,1283.0,0.0,0,0,,1
drosdeck,1,1,1.0,0.0,1.0,1,386.0,0.0,0,0,,1
edumazet,3,1,19.0,0.6666666666666666,19.666666666666668,53,853.6666666666666,0.0,0,0,,3
ffainelli,3,3,98.33333333333333,2.6666666666666665,101.0,299,915.6666666666666,0.0,0,0,,3
fossdd,1,1,4.0,0.0,4.0,4,739.0,1.0,0,0,,1
hmadhani,1,1,3.0,1.0,4.0,4,909.0,0.0,0,0,,1
honggyukim,4,1,4.75,1.5,6.25,8,1083.75,0.0,0,0,,4
hsiangkao,3,2,10.0,11.666666666666666,21.666666666666668,40,679.0,0.0,0,0,,3
hvilleneuvedoo,1,1,3.0,2.0,5.0,5,972.0,0.0,0,0,,1
iostapyshyn,1,1,1.0,1.0,2.0,2,880.0,1.0,0,0,,1
ioworker0,1,1,28.0,18.0,46.0,46,2231.0,0.0,0,0,,1
isilence,1,1,0.0,3.0,3.0,3,638.0,0.0,0,0,,1
ivitro,1,1,3.0,1.0,4.0,4,3402.0,0.0,0,0,,1
jbfil,1,1,3.0,3.0,6.0,6,611.0,0.0,0,0,,1
jimxbj-dot,1,1,5.0,3.0,8.0,8,921.0,0.0,0,0,,1
jmberg-intel,3,3,102.0,67.0,169.0,498,479.0,0.0,0,0,,3
kevin-brodsky-arm,1,1,26.0,9.0,35.0,35,1590.0,0.0,0,0,,1
kiryl,1,1,2.0,1.0,3.0,3,333.0,0.0,0,0,,1
kuba-moo,15,5,48.266666666666666,22.4,70.66666666666667,663,862.1333333333333,0.0,0,0,,15
l1k,1,1,8.0,8.0,16.0,16,3077.0,0.0,0,0,,1
leitao,1,1,8.0,3.0,11.0,11,910.0,0.0,0,0,,1
leon-yen,1,1,27.0,5.0,32.0,32,573.0,0.0,0,0,,1
liuhangbin,1,1,1.0,1.0,2.0,2,1001.0,0.0,0,0,,1
louis-peens,1,1,2.0,2.0,4.0,4,549.0,0.0,0,0,,1
lucasdemarchi,1,1,1.0,1.0,2.0,2,1937.0,0.0,0,0,,1
matt-auld,1,1,1.0,1.0,2.0,2,1335.0,0.0,0,0,,1
mbrost05,2,1,0.5,0.5,1.0,1,866.5,0.0,0,0,,2
metze-samba,1,1,3.0,2.0,5.0,5,1453.0,0.0,0,0,,1
michaello316,1,1,4.0,4.0,8.0,8,715.0,0.0,0,0,,1
mkrle,1,1,1.0,1.0,2.0,2,449.0,0.0,0,0,,1
mmhal,3,1,15.333333333333334,3.6666666666666665,19.0,28,822.6666666666666,0.0,0,0,,3
moonheelee,1,1,14.0,0.0,14.0,14,1225.0,0.0,0,0,,1
mrpre,1,1,1.0,1.0,2.0,2,2005.0,0.0,0,0,,1
mwajdecz,2,2,6.5,1.0,7.5,11,873.0,0.0,0,0,,2
n132,1,1,25.0,28.0,53.0,53,781.0,1.0,0,0,,1
namjaejeon,1,1,9.0,20.0,29.0,29,359.0,0.0,0,0,,1
nathanchance,1,1,1.0,1.0,2.0,2,1042.0,0.0,0,0,,1
nbd168,3,2,15.0,24.333333333333332,39.333333333333336,109,436.3333333333333,0.3333333333333333,0,0,,3
ncroxon,1,1,8.0,2.0,10.0,10,1402.0,0.0,0,0,,1
ofirbitt,1,1,1.0,1.0,2.0,2,445.0,0.0,0,0,,1
olerem,5,2,10.8,1.2,12.0,29,1244.8,0.0,0,0,,5
panjaney,1,1,1.0,1.0,2.0,2,724.0,0.0,0,0,,1
pcacjr,1,1,20.0,19.0,39.0,39,1587.0,0.0,0,0,,1
petrpavlu,2,1,1.5,2.0,3.5,4,829.0,0.0,0,0,,2
q2ven,6,3,15.166666666666666,8.0,23.166666666666668,81,1878.3333333333333,0.0,0,0,,6
rafaeljw,2,2,6.5,6.5,13.0,24,625.0,0.0,0,0,,2
sjp38,1,1,3.0,4.0,7.0,7,1036.0,1.0,0,0,,1
sknsean,1,1,1.0,1.0,2.0,2,541.0,0.0,0,0,,1
skotur-brcm,1,1,1.0,1.0,2.0,2,1942.0,0.0,0,0,,1
stefano-garzarella,1,1,1.0,1.0,2.0,2,922.0,0.0,0,0,,1
superm1,1,1,11.0,0.0,11.0,11,1087.0,0.0,0,0,,1
t-8ch,2,1,3.0,2.0,5.0,8,672.5,0.0,0,0,,2
tamird,1,1,1.0,2.0,3.0,3,274.0,0.0,0,0,,1
thejh,1,1,1.0,1.0,2.0,2,1633.0,0.0,0,0,,1
tititiou36,1,1,1.0,0.0,1.0,1,596.0,1.0,0,0,,1
tiwai,1,1,3434.0,2006.0,5440.0,5440,234.0,0.0,0,0,,1
toblux,1,1,1.0,1.0,2.0,2,445.0,0.0,0,0,,1
torvalds,65,12,94.23076923076923,50.76923076923077,145.0,925,1032.6615384615384,0.4153846153846154,0,0,,65
tq-steina,1,1,1.0,1.0,2.0,2,632.0,0.0,0,0,,1
ukleinek,2,1,4.5,3.0,7.5,13,708.0,0.0,0,0,,2
vanhoefm,1,1,50.0,2.0,52.0,52,1712.0,0.0,0,0,,1
vbnogueira,2,2,26.5,3.5,30.0,37,1543.5,0.5,0,0,,2
veritas501,1,1,1.0,0.0,1.0,1,581.0,0.0,0,0,,1
vivekkreddy,1,1,6.0,3.0,9.0,9,4118.0,0.0,0,0,,1
wangjinchao,1,1,1.0,0.0,1.0,1,1259.0,0.0,0,0,,1
wens,1,1,1.0,1.0,2.0,2,535.0,1.0,0,0,,1
yu-chen-surf,1,1,2.0,27.0,29.0,29,2193.0,0.0,0,0,,1
