author_login,commit_count_raw,active_days,avg_additions,avg_deletions,avg_total_changes,max_total_changes,avg_msg_len,weekend_commit_ratio,total_prs,merged_prs,pr_acceptance_rate,commit_count
jerryxyj,1,1,3.0,0.0,3.0,3,51.0,0.0,0,0,,1
jossb-iso,1,1,0.0,2.0,2.0,2,182.0,0.0,0,0,,1
jparkerh,2,2,245.5,1.0,246.5,492,290.0,0.0,0,0,,2
juliagmt-google,1,1,0.0,4.0,4.0,4,81.0,0.0,0,0,,1
junwhanahn,1,1,0.0,11.0,11.0,11,105.0,0.0,0,0,,1
liepieshov,2,1,63.5,40.5,104.0,188,86.0,0.0,0,0,,2
loislo,1,1,3.0,3.0,6.0,6,206.0,0.0,0,0,,1
majiddadashi,2,2,77.0,40.5,117.5,229,333.5,0.0,0,0,,2
marialyu,1,1,38.0,67.0,105.0,105,71.0,0.0,0,0,,1
metaflow,4,3,638.5,23.5,662.0,2086,208.0,0.0,0,0,,4
mkuperst,4,3,48.5,3.0,51.5,111,240.5,0.0,0,0,,4
mooskagh,1,1,104.0,100.0,204.0,204,378.0,0.0,0,0,,1
mwhittaker,1,1,187.0,2.0,189.0,189,2287.0,0.0,0,0,,1
nafi3000,2,2,36.5,36.5,73.0,140,339.5,0.0,0,0,,2
nvgrw,4,3,40.0,44.0,84.0,218,101.75,0.0,0,0,,4
penpornk,1,1,284.0,147.0,431.0,431,909.0,0.0,74,71,0.96,1
petebu,1,1,1.0,1.0,2.0,2,78.0,0.0,0,0,,1
pifon2a,4,3,42.25,159.25,201.5,548,88.5,0.0,1,0,0.0,4
pineapplejuice233,2,2,3.5,2.5,6.0,6,135.5,0.0,0,0,,2
pizzud,1,1,13.0,5.0,18.0,18,475.0,0.0,0,0,,1
pschuh,8,5,58.125,14.625,72.75,161,153.625,0.125,0,0,,8
reedwm,2,2,429.0,429.0,858.0,858,1197.0,0.0,30,30,1.0,2
rtg0795,2,2,6.5,12.0,18.5,36,62.0,0.0,43,40,0.93,2
sdasgup3,1,1,694.0,23.0,717.0,717,110.0,0.0,0,0,,1
seantalts,3,2,300.6666666666667,48.333333333333336,349.0,816,584.0,0.0,0,0,,3
sergey-kozub,1,1,1016.0,57.0,1073.0,1073,776.0,0.0,0,0,,1
sgarciagoogle,1,1,1.0,1.0,2.0,2,50.0,0.0,0,0,,1
slackito,1,1,2876.0,863.0,3739.0,3739,180.0,1.0,0,0,,1
sohaibiftikhar,3,1,36.666666666666664,16.0,52.666666666666664,99,193.33333333333334,0.0,0,0,,3
tensorflower-gardener,86,8,42.383720930232556,26.63953488372093,69.02325581395348,677,126.69767441860465,0.06976744186046512,0,0,,86
terryheo,4,3,132.5,117.5,250.0,336,209.0,0.0,26,16,0.62,4
terryysun,1,1,9.0,6.0,15.0,15,750.0,0.0,0,0,,1
thomasjoerg,2,2,43.5,3.5,47.0,51,345.0,0.0,0,0,,2
tomnatan30,6,3,29.5,11.333333333333334,40.833333333333336,140,174.33333333333334,0.16666666666666666,0,0,,6
vsytch,2,1,82.5,22.0,104.5,198,57.5,0.0,0,0,,2
wsmoses,1,1,3.0,1.0,4.0,4,72.0,0.0,0,0,,1
xinxinmo,1,1,39.0,42.0,81.0,81,309.0,1.0,0,0,,1
zacmustin,1,1,3.0,2.0,5.0,5,79.0,0.0,0,0,,1
zqw86713,3,2,10.333333333333334,0.3333333333333333,10.666666666666666,22,72.33333333333333,0.3333333333333333,3,1,0.33,3
